Country;"Sub ID 2";"Sub ID 4";"Sub ID 5";#;Clicks;"UC (campaign)";Conv.;"ROI (confirmed)"
India;120246277036180106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246277036190106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;4;4;0;0
India;120246277036200106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;5;5;0;0
India;120246277036210106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246277036220106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;4;4;0;0
India;120246277036230106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;5;5;0;0
India;120246277036240106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;10;8;0;0
India;120246277036250106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;8;7;0;0
India;120246277036260106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;4;4;0;0
India;120246277036270106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;5;5;0;0
India;120246277036280106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;3;3;0;0
India;120246277036290106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;4;4;0;0
India;120246277036300106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;12;12;0;0
India;120246277036310106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246277036320106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246277036330106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;4;4;0;0
India;120246277036340106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;6;6;0;0
India;120246277036350106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;7;6;0;0
India;120246277036360106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246277036370106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;5;4;0;0
India;120246277036380106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;8;7;0;0
India;120246277036420106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;5;5;0;0
India;120246277036430106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;8;8;0;0
India;120246277036440106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;6;6;0;0
India;120246277036450106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;3;3;0;0
India;120246277036520106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246277036630106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;4;3;0;0
India;120246277036680106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;6;6;0;0
India;120246292291890106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;8;8;0;0
India;120246292361440106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;6;6;0;0
India;120246292361450106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;6;5;0;0
India;120246292361740106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;1;1;0;0
India;120246292361750106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;7;7;0;0
India;120246292361760106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;8;8;0;0
India;120246292361770106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;18;16;0;0
India;120246292361780106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;2;2;0;0
India;120246292361790106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;2;1;0;0
India;120246292361800106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;3;2;0;0
India;120246292361810106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;4;4;0;0
India;120246292361820106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;12;11;0;0
India;120246292361830106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;1;1;0;0
India;120246292361840106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;7;7;0;0
India;120246292361860106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;9;7;0;0
India;120246292361870106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;3;3;0;0
India;120246292361880106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;9;9;0;0
India;120246292361900106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;16;16;0;0
India;120246292361930106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;5;5;0;0
India;120246293063550106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;3;3;0;0
India;120246293082230106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;1;1;0;0
India;120246293082250106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;6;6;0;0
India;120246293082530106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;1;1;0;0
India;120246293082540106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;23;23;0;0
India;120246293082550106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;12;12;0;0
India;120246293082560106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;10;10;0;0
India;120246293082570106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;9;9;0;0
India;120246293082580106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;14;14;0;0
India;120246293082590106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;18;17;0;0
India;120246293082600106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;16;16;0;0
India;120246293082610106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;17;17;0;0
India;120246293082620106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;10;10;0;0
India;120246293082630106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;3;3;0;0
India;120246293082640106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;7;7;0;0
India;120246293082650106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;10;10;0;0
India;120246293082660106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;14;14;0;0
India;120246293082670106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;12;11;0;0
India;120246293082680106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;11;11;0;0
India;120246310593000106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;3;3;0;0
India;120246310625370106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;7;7;0;0
India;120246310625430106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;7;7;0;0
India;120246310625430106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;4;4;0;0
India;120246310625440106;1641083631350576;"🇮🇳 IN_95 [FortuneGems]";0;1;1;0;0
India;120246310625450106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;8;7;0;0
India;120246310625460106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;33;30;0;0
India;120246310625470106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;7;7;0;0
India;120246310625470106;1641083631350576;"🇮🇳 IN_95 [FortuneGems]";0;2;2;0;0
India;120246310625480106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;16;16;0;0
India;120246310625480106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;3;3;0;0
India;120246310625500106;1641083631350576;"🇮🇳 IN_95 [FortuneGems]";0;3;3;0;0
India;120246310625510106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;33;32;0;0
India;120246310625510106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;2;2;0;0
India;120246310625520106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;7;7;0;0
India;120246310625520106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;2;2;0;0
India;120246310625530106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;33;31;0;0
India;120246310625540106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;9;9;0;0
India;120246310625540106;1641083631350576;"🇮🇳 IN_95 [FortuneGems]";0;1;1;0;0
India;120246310625550106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;10;10;0;0
India;120246310625560106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;27;25;0;0
India;120246310625560106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;1;1;0;0
India;120246310625570106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246310625570106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;9;8;0;0
India;120246310625580106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;6;5;0;0
India;120246310625590106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;12;12;0;0
India;120246310625590106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;5;5;0;0
India;120246310625600106;1641083631350576;"🇮🇳 IN_95 [FortuneGems]";0;2;2;0;0
India;120246310625730106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;15;15;0;0
India;120246311284060106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;4;4;0;0
India;120246311284070106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;3;3;0;0
India;120246311284590106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;1;1;0;0
India;120246311284630106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;4;4;0;0
India;120246311284650106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;6;6;0;0
India;120246311284650106;1641083631350576;"🇮🇳 IN_95 [FortuneGems]";0;1;1;0;0
India;120246311284740106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;4;4;0;0
India;120246311284740106;1641083631350576;"🇮🇳 IN_95 [FortuneGems]";0;3;3;0;0
India;120246311284750106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;5;5;0;0
India;120246311284760106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;1;1;0;0
India;120246311284760106;1641083631350576;"🇮🇳 IN_95 [FortuneGems]";0;3;3;0;0
India;120246311284770106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;7;7;0;0
India;120246311284770106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;1;1;0;0
India;120246311284770106;1641083631350576;"🇮🇳 IN_95 [FortuneGems]";0;13;13;0;0
India;120246311284780106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;1;1;0;0
India;120246311284790106;1641083631350576;"🇮🇳 IN_95 [FortuneGems]";0;4;4;0;0
India;120246311284800106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246311284810106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;1;1;0;0
India;120246311284820106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;1;1;0;0
India;120246311284830106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;1;1;0;0
India;120246311284830106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;2;2;0;0
India;120246311284910106;1641083631350576;"🇮🇳 IN_95 [FortuneGems]";0;8;8;0;0
India;120246311284960106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;3;3;0;0
India;120246311284970106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;3;2;0;0
India;120246311284990106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;3;3;0;0
India;120246311284990106;1641083631350576;"🇮🇳 IN_95 [FortuneGems]";0;1;1;0;0
India;120246311285010106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;5;5;0;0
India;120246311285010106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;1;1;0;0
India;120246311285020106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;5;5;0;0
India;120246311285040106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;3;3;0;0
India;120246311285050106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;7;7;0;0
India;120246311285050106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;8;8;0;0
India;120246311285050106;1641083631350576;"🇮🇳 IN_95 [FortuneGems]";0;25;24;0;0
India;120246363324460106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;1;1;0;0
India;120246363369440106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;1;1;0;0
India;120246363398090106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246363398090106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;4;4;0;0
India;120246363398100106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;1;1;0;0
India;120246363398610106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;4;3;0;0
India;120246363398610106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;5;5;0;0
India;120246363398620106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;4;3;0;0
India;120246363398620106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;3;3;0;0
India;120246363398630106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246363398630106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;3;3;0;0
India;120246363398640106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;3;2;0;0
India;120246363398650106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;6;6;0;0
India;120246363398660106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;9;9;0;0
India;120246363398670106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;2;2;0;0
India;120246363398680106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;1;1;0;0
India;120246363398690106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;1;1;0;0
India;120246363398700106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;3;3;0;0
India;120246363398710106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;4;3;0;0
India;120246363398720106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;3;3;0;0
India;120246363398730106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;3;2;0;0
India;120246363398740106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246363398750106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;2;2;0;0
India;120246363398760106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;2;2;0;0
India;120246363398770106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;6;6;0;0
India;120246363398780106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;3;3;0;0
India;120246363398790106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;7;7;0;0
India;120246363398790106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;5;5;0;0
India;120246363398800106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;2;2;0;0
India;120246363398810106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;3;2;0;0
India;120246363398810106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;2;2;0;0
India;120246363398820106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;3;3;0;0
India;120246363398820106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;5;5;0;0
India;120246363398830106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;6;6;0;0
India;120246363398830106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;5;4;0;0
India;120246363398840106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;6;6;0;0
India;120246363398850106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;2;2;0;0
India;120246363398990106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;4;4;0;0
India;120246365946530106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;8;8;0;0
India;120246365993490106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;4;2;0;0
India;120246365993780106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;7;6;0;0
India;120246365993790106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;1;1;0;0
India;120246365993800106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;4;4;0;0
India;120246365993810106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;3;3;0;0
India;120246365993820106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246365993830106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;3;3;0;0
India;120246365993840106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;4;4;0;0
India;120246365993850106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;3;3;0;0
India;120246365993860106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;5;5;0;0
India;120246365993870106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;1;1;0;0
India;120246365993890106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;5;5;0;0
India;120246365993900106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;5;5;0;0
India;120246365993910106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246365993920106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;1;1;0;0
India;120246365993930106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;6;6;0;0
India;120246365994010106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;5;4;0;0
India;120246365994020106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;1;0;0
India;120246377795500106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;10;7;0;0
India;120246377916910106;1641083631350576;"🇮🇳 IN_97 [FortuneGems]";0;5;5;0;0
