Country,"Account ID","Campaign ID","Ad name",Currency,"Amount spent (USD)",Leads,"Cost per lead","Registrations completed","Cost per registration completed","CTR (all)","CPM (cost per 1,000 impressions)",Reach,Impressions,Frequency,"Reporting starts","Reporting ends"
IN,1641083631350576,120246365993780106,"🇮🇳 IN_92 [FortuneGems]",USD,1.7,3,0.56666667,2,0.85,3.93258427,9.5505618,174,178,1.02298851,2026-07-01,2026-07-17
IN,1641083631350576,120246365993840106,"🇮🇳 IN_92 [FortuneGems]",USD,2.52,5,0.504,3,0.84,2.74725275,13.84615385,179,182,1.01675978,2026-07-01,2026-07-17
IN,1641083631350576,120246365993910106,"🇮🇳 IN_92 [FortuneGems]",USD,2.4,1,2.4,,,1.49253731,17.91044776,130,134,1.03076923,2026-07-01,2026-07-17
IN,1641083631350576,120246365993930106,"🇮🇳 IN_92 [FortuneGems]",USD,1.6,3,0.53333333,2,0.8,3.52941176,9.41176471,170,170,1,2026-07-01,2026-07-17
IN,1641083631350576,120246365993790106,"🇮🇳 IN_92 [FortuneGems]",USD,1.73,1,1.73,1,1.73,1.79640719,10.35928144,167,167,1,2026-07-01,2026-07-17
IN,1641083631350576,120246365994010106,"🇮🇳 IN_92 [FortuneGems]",USD,1.74,1,1.74,1,1.74,3.26086957,9.45652174,181,184,1.01657459,2026-07-01,2026-07-17
IN,1641083631350576,120246365993830106,"🇮🇳 IN_92 [FortuneGems]",USD,1.81,3,0.60333333,3,0.60333333,1.89873418,11.4556962,155,158,1.01935484,2026-07-01,2026-07-17
IN,1641083631350576,120246365993800106,"🇮🇳 IN_92 [FortuneGems]",USD,1.71,1,1.71,,,3.14465409,10.75471698,155,159,1.02580645,2026-07-01,2026-07-17
IN,1641083631350576,120246365993920106,"🇮🇳 IN_92 [FortuneGems]",USD,1.73,,,,,1.49253731,12.91044776,132,134,1.01515152,2026-07-01,2026-07-17
IN,1641083631350576,120246365994020106,"🇮🇳 IN_92 [FortuneGems]",USD,2.06,,,,,0.65789474,13.55263158,151,152,1.00662252,2026-07-01,2026-07-17
IN,1641083631350576,120246365993850106,"🇮🇳 IN_92 [FortuneGems]",USD,2,3,0.66666667,3,0.66666667,2.04081633,13.60544218,144,147,1.02083333,2026-07-01,2026-07-17
IN,1641083631350576,120246377795500106,"🇮🇳 IN_92 [FortuneGems]",USD,4.77,4,1.1925,3,1.59,4.11522634,19.62962963,226,243,1.07522124,2026-07-01,2026-07-17
IN,1641083631350576,120246377916910106,"🇮🇳 IN_96 [FortuneGems]",USD,0.17,,,,,0,10,16,17,1.0625,2026-07-01,2026-07-17
IN,1641083631350576,120246377916910106,"🇮🇳 IN_97 [FortuneGems]",USD,4.47,5,0.894,5,0.894,6.25,39.91071429,102,112,1.09803922,2026-07-01,2026-07-17
IN,1641083631350576,120246377916910106,"🇮🇳 IN_98 [FortuneGems]",USD,3.22,2,1.61,1,3.22,10,53.66666667,59,60,1.01694915,2026-07-01,2026-07-17
IN,1641083631350576,120246378361580106,"🇮🇳 IN_92 [FortuneGems]",USD,3.59,4,0.8975,3,1.19666667,1.50943396,13.54716981,256,265,1.03515625,2026-07-01,2026-07-17
IN,1641083631350576,120246378364170106,"🇮🇳 IN_92 [FortuneGems]",USD,3.72,4,0.93,3,1.24,2.5,15.5,235,240,1.0212766,2026-07-01,2026-07-17
IN,1641083631350576,120246378364220106,"🇮🇳 IN_92 [FortuneGems]",USD,1.64,,,,,0,28.77192982,55,57,1.03636364,2026-07-01,2026-07-17
IN,1641083631350576,120246378363840106,"🇮🇳 IN_92 [FortuneGems]",USD,4.82,4,1.205,2,2.41,2.55319149,20.5106383,230,235,1.02173913,2026-07-01,2026-07-17
IN,1641083631350576,120246378364190106,"🇮🇳 IN_92 [FortuneGems]",USD,0.87,,,,,0,9.7752809,85,89,1.04705882,2026-07-01,2026-07-17
IN,1641083631350576,120246378364280106,"🇮🇳 IN_92 [FortuneGems]",USD,3.76,2,1.88,2,1.88,2.88461538,18.07692308,201,208,1.03482587,2026-07-01,2026-07-17
IN,1641083631350576,120246378364290106,"🇮🇳 IN_92 [FortuneGems]",USD,4.18,3,1.39333333,3,1.39333333,1.13636364,15.83333333,255,264,1.03529412,2026-07-01,2026-07-17
IN,1641083631350576,120246378364300106,"🇮🇳 IN_92 [FortuneGems]",USD,0.68,,,,,1.25,8.5,80,80,1,2026-07-01,2026-07-17
IN,1641083631350576,120246378364260106,"🇮🇳 IN_92 [FortuneGems]",USD,1.38,,,,,0,15.68181818,83,88,1.06024096,2026-07-01,2026-07-17
IN,1641083631350576,120246378364320106,"🇮🇳 IN_92 [FortuneGems]",USD,0.75,1,0.75,1,0.75,1.33333333,10,73,75,1.02739726,2026-07-01,2026-07-17
IN,1641083631350576,120246378364440106,"🇮🇳 IN_92 [FortuneGems]",USD,4.49,4,1.1225,2,2.245,2.47933884,18.55371901,233,242,1.03862661,2026-07-01,2026-07-17
IN,1641083631350576,120246378364490106,"🇮🇳 IN_92 [FortuneGems]",USD,1.34,,,,,0,20.3030303,65,66,1.01538462,2026-07-01,2026-07-17
IN,1641083631350576,120246378363700106,"🇮🇳 IN_92 [FortuneGems]",USD,4.15,5,0.83,4,1.0375,3.66972477,19.03669725,209,218,1.0430622,2026-07-01,2026-07-17
IN,1641083631350576,120246378364450106,"🇮🇳 IN_92 [FortuneGems]",USD,0.9,,,,,4.05405405,12.16216216,73,74,1.01369863,2026-07-01,2026-07-17
IN,1641083631350576,120246378363860106,"🇮🇳 IN_92 [FortuneGems]",USD,3.85,4,0.9625,3,1.28333333,2.41935484,15.52419355,236,248,1.05084746,2026-07-01,2026-07-17
IN,1641083631350576,120246378364200106,"🇮🇳 IN_92 [FortuneGems]",USD,4.17,4,1.0425,2,2.085,1.78571429,18.61607143,219,224,1.02283105,2026-07-01,2026-07-17
IN,1641083631350576,120246378363850106,"🇮🇳 IN_92 [FortuneGems]",USD,1.07,,,,,1.47058824,15.73529412,66,68,1.03030303,2026-07-01,2026-07-17
IN,1641083631350576,120246378364230106,"🇮🇳 IN_92 [FortuneGems]",USD,1.19,,,,,0,17.24637681,69,69,1,2026-07-01,2026-07-17
IN,1641083631350576,120246378363720106,"🇮🇳 IN_92 [FortuneGems]",USD,1.36,1,1.36,1,1.36,3.07692308,20.92307692,64,65,1.015625,2026-07-01,2026-07-17
