Country,"Account ID","Campaign ID","Ad name",Currency,"Amount spent (USD)",Leads,"Cost per lead","Registrations completed","Cost per registration completed","CTR (all)","CPM (cost per 1,000 impressions)",Reach,Impressions,Frequency,"Reporting starts","Reporting ends"
IN,1641083631350576,120246363398770106,"🇮🇳 IN_92 [FortuneGems]",USD,2.52,1,2.52,1,2.52,2.92682927,12.29268293,197,205,1.04060914,2026-07-01,2026-07-16
IN,1641083631350576,120246363398810106,"🇮🇳 IN_92 [FortuneGems]",USD,1.92,2,0.96,2,0.96,2.05479452,13.15068493,144,146,1.01388889,2026-07-01,2026-07-16
IN,1641083631350576,120246363398790106,"🇮🇳 IN_92 [FortuneGems]",USD,2.12,5,0.424,4,0.53,3.10880829,10.98445596,190,193,1.01578947,2026-07-01,2026-07-16
IN,1641083631350576,120246363398800106,"🇮🇳 IN_92 [FortuneGems]",USD,2.27,,,,,0,18.45528455,122,123,1.00819672,2026-07-01,2026-07-16
IN,1641083631350576,120246363398830106,"🇮🇳 IN_92 [FortuneGems]",USD,2.25,2,1.125,2,1.125,3.73134328,16.79104478,132,134,1.01515152,2026-07-01,2026-07-16
IN,1641083631350576,120246363398820106,"🇮🇳 IN_92 [FortuneGems]",USD,1.13,2,0.565,1,1.13,2.97029703,11.18811881,98,101,1.03061224,2026-07-01,2026-07-16
IN,1641083631350576,120246363398740106,"🇮🇳 IN_94 [FortuneGems]",USD,0.06,,,,,0,6,10,10,1,2026-07-01,2026-07-16
IN,1641083631350576,120246363398090106,"🇮🇳 IN_92 [FortuneGems]",USD,2.48,2,1.24,2,1.24,1.4354067,11.86602871,205,209,1.0195122,2026-07-01,2026-07-16
IN,1641083631350576,120246363398630106,"🇮🇳 IN_94 [FortuneGems]",USD,2,3,0.66666667,2,1,1.49253731,7.46268657,257,268,1.04280156,2026-07-01,2026-07-16
IN,1641083631350576,120246363398650106,"🇮🇳 IN_94 [FortuneGems]",USD,2.83,3,0.94333333,3,0.94333333,1.97368421,9.30921053,301,304,1.00996678,2026-07-01,2026-07-16
IN,1641083631350576,120246363398620106,"🇮🇳 IN_94 [FortuneGems]",USD,2.82,3,0.94,1,2.82,0.93167702,8.75776398,310,322,1.03870968,2026-07-01,2026-07-16
IN,1641083631350576,120246363398740106,"🇮🇳 IN_92 [FortuneGems]",USD,2.8,,,,,1.6194332,11.33603239,243,247,1.01646091,2026-07-01,2026-07-16
IN,1641083631350576,120246363398650106,"🇮🇳 IN_92 [FortuneGems]",USD,0.25,,,,,0,13.88888889,18,18,1,2026-07-01,2026-07-16
IN,1641083631350576,120246363398620106,"🇮🇳 IN_92 [FortuneGems]",USD,2.81,3,0.93666667,3,0.93666667,4.22535211,39.57746479,68,71,1.04411765,2026-07-01,2026-07-16
